observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
Duqu,Described,network logs,Software/Tool,Full: Malware,Open/Standard Technology,,"Referenced with a MITRE ATT&CK link (S0038), indicating its identity as malware that downloads additional modules.","[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data in information repositories, including the Infostealer 2 module that can access data from Windows Shares.(Citation: Symantec)",T0811,relationship--692324b4-064a-430c-8ffc-7f7acd537778,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
Duqu,Described,Threat intelligence feeds,Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Duqu is a malware tool referenced with a MITRE ATT&CK ID (S0038) and is used for intelligence gathering.,"[Duqu](https://attack.mitre.org/software/S0038)'s purpose is to gather intelligence data and assets from entities such as industrial infrastructure and system manufacturers, amongst others not in the industrial sector, in order to more easily conduct a future attack against another third party.(Citation: Symantec)",T0882,relationship--792324b4-064a-430c-8ffc-7f7acd537778,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
infostealer 1,Described,host-based logs,Software/Tool,No,Proprietary-Undocumented Technology,,Module downloaded by Duqu for local data collection.,"[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. (Citation: Symantec)",T0893,relationship--172e0537-7a9c-4610-9b07-32a841f0bd8d,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
infostealer 2,Described,host-based logs,Software/Tool,No,Proprietary-Undocumented Technology,,Module downloaded by Duqu for local data collection.,"[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. (Citation: Symantec)",T0893,relationship--172e0537-7a9c-4610-9b07-32a841f0bd8d,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
Infostealer 2,Described,system logs,Software/Tool,Full: Malware,Open/Standard Technology,,A malware module used by Duqu to collect data from Windows Shares.,"[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data in information repositories, including the Infostealer 2 module that can access data from Windows Shares.(Citation: Symantec)",T0811,relationship--692324b4-064a-430c-8ffc-7f7acd537778,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
reconnaissance,Described,host-based logs,Software/Tool,No,Proprietary-Undocumented Technology,,Module downloaded by Duqu for collecting local system data.,"[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data from local systems. The modules are named: infostealer 1, infostealer 2 and reconnaissance. (Citation: Symantec)",T0893,relationship--172e0537-7a9c-4610-9b07-32a841f0bd8d,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
Windows Shares,Mentioned,system logs,Network Entity,No,Open/Standard Technology,,"General reference to shared folders on Windows systems, without unique identifiers.","[Duqu](https://attack.mitre.org/software/S0038) downloads additional modules for the collection of data in information repositories, including the Infostealer 2 module that can access data from Windows Shares.(Citation: Symantec)",T0811,relationship--692324b4-064a-430c-8ffc-7f7acd537778,FALSE,,Duqu,https://attack.mitre.org/software/S0038,,,,,,,,,,
EKANS,Described,"Threat intelligence feeds, system logs",Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced with MITRE ATT&CK ID S0605; noted for killing processes and then encrypting them.,"Before encrypting the process, [EKANS](https://attack.mitre.org/software/S0605) first kills the process if its name matches one of the processes defined on the kill-list. (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) EKANS also utilizes netsh commands to implement firewall rules that blocks any remote communication with the device. (Citation: Ben Hunter and Fred Gutierrez July 2020)",T0881,relationship--11e4eb54-b0b3-4f67-a93f-28cc10df00ab,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
EKANS,Described,system logs,Software/Tool,Full: Software,Open/Standard Technology,,"Referenced with a MITRE ATT&CK link, identifying the malware but without actionable indicators.",[EKANS](https://attack.mitre.org/software/S0605) performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system. (Citation: Ben Hunter and Fred Gutierrez July 2020),T0840,relationship--1dc35f79-0ada-4342-bd13-10d10c1b0335,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
EKANS,Described,"System logs, endpoint detection systems, and threat intelligence feeds",Software/Tool,Full: Malware,Proprietary-Undocumented Technology,,Referenced with the MITRE ATT&CK link (https://attack.mitre.org/software/S0605),[EKANS](https://attack.mitre.org/software/S0605) infection resulted in a temporary production loss within a Honda manufacturing plant. (Citation: Davey Winder June 2020),T0828,relationship--a6519c11-e9d4-4b6f-8d92-8efaa2144c28,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
EKANS,Described,Endpoint logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,"EKANS is explicitly identified by name and linked to its MITRE ATT&CK entry, making it a specific malware family.",[EKANS](https://attack.mitre.org/software/S0605) masquerades itself as a valid executable with the filename update.exe. Many valid programs use the process name update.exe to perform background software updates. (Citation: Dragos Threat Intelligence February 2020),T0849,relationship--c347b69c-e3f6-4eca-ba57-0781c7dc8eac,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
internal domain name,Mentioned,network logs (DNS logs),Domain Name,Full: DomainName,Open/Standard Technology,,Generic reference without specific details; indicates the DNS lookup target in the network.,[EKANS](https://attack.mitre.org/software/S0605) performs a DNS lookup of an internal domain name associated with its target network to identify if it was deployed on the intended system. (Citation: Ben Hunter and Fred Gutierrez July 2020),T0840,relationship--1dc35f79-0ada-4342-bd13-10d10c1b0335,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
kill-list (list of process names),Mentioned,Malware binary analysis,Process Name List,No,Proprietary-Undocumented Technology,,Internal list used by EKANS to identify processes to kill prior to encryption.,"Before encrypting the process, [EKANS](https://attack.mitre.org/software/S0605) first kills the process if its name matches one of the processes defined on the kill-list. (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) EKANS also utilizes netsh commands to implement firewall rules that blocks any remote communication with the device. (Citation: Ben Hunter and Fred Gutierrez July 2020)",T0881,relationship--11e4eb54-b0b3-4f67-a93f-28cc10df00ab,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
netsh commands,Mentioned,Windows system logs,Command/Utility,No,Open/Standard Technology,,Utilized by EKANS to implement firewall rules that block remote communication.,"Before encrypting the process, [EKANS](https://attack.mitre.org/software/S0605) first kills the process if its name matches one of the processes defined on the kill-list. (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) (Citation: Daniel Kapellmann Zafra, Keith Lunden, Nathan Brubaker, Jeremy Kennelly July 2020) EKANS also utilizes netsh commands to implement firewall rules that blocks any remote communication with the device. (Citation: Ben Hunter and Fred Gutierrez July 2020)",T0881,relationship--11e4eb54-b0b3-4f67-a93f-28cc10df00ab,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
update.exe,Actionable-Atomic,File system logs,File,Full: File,Open/Standard Technology,,"The filename 'update.exe' is a common executable name used by many valid programs, although it is here noted as a masquerading tactic.",[EKANS](https://attack.mitre.org/software/S0605) masquerades itself as a valid executable with the filename update.exe. Many valid programs use the process name update.exe to perform background software updates. (Citation: Dragos Threat Intelligence February 2020),T0849,relationship--c347b69c-e3f6-4eca-ba57-0781c7dc8eac,FALSE,,EKANS,https://attack.mitre.org/software/S0605,,,,,,,,,,
AutoCAD design data,Mentioned,File system,Document,No,Proprietary-Documented Technology,,Generic reference to design files produced by AutoCAD.,[Flame](https://attack.mitre.org/software/S0143) can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information. (Citation: Kevin Savage and Branko Spasojevic),T0882,relationship--79d05cb2-ded0-4847-b52e-af7af421f303,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
Flame,Described,Threat intelligence feeds and malware analysis reports,Software/Tool,Full: Malware,Proprietary-Documented Technology,,Flame is referenced via a MITRE ATT&CK hyperlink and noted for its built-in information gathering modules on compromised computers.,[Flame](https://attack.mitre.org/software/S0143) has built-in modules to gather information from compromised computers. (Citation: Kevin Savage and Branko Spasojevic),T0893,relationship--25ddb2e0-b945-45d2-a8a9-6e6d5c4401d3,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
Flame,Described,Endpoint logs,Software/Tool,Full: Malware,Proprietary-Documented Technology,,Referenced via a MITRE ATT&CK link (S0143); a known malware that collects specific files.,[Flame](https://attack.mitre.org/software/S0143) can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information. (Citation: Kevin Savage and Branko Spasojevic),T0882,relationship--79d05cb2-ded0-4847-b52e-af7af421f303,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
other documents containing operational information,Mentioned,File system,Document,No,Open/Standard Technology,,Refers to additional documents that may disclose operational details.,[Flame](https://attack.mitre.org/software/S0143) can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information. (Citation: Kevin Savage and Branko Spasojevic),T0882,relationship--79d05cb2-ded0-4847-b52e-af7af421f303,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
visio diagrams,Mentioned,File system,Document,No,Proprietary-Documented Technology,,Generic reference to diagram files likely created by Microsoft Visio.,[Flame](https://attack.mitre.org/software/S0143) can collect AutoCAD design data and visio diagrams as well as other documents that may contain operational information. (Citation: Kevin Savage and Branko Spasojevic),T0882,relationship--79d05cb2-ded0-4847-b52e-af7af421f303,FALSE,,Flame,https://attack.mitre.org/software/S0143,,,,,,,,,,
Connected sensors,Mentioned,ICS sensor network data,Device,No,Open/Standard Technology,,"Generic reference to the sensors receiving data, targeted to disrupt sensor data acquisition.",[Fuxnet](https://attack.mitre.org/software/S1157) repeatedly wrote arbitrary data over the Meter-Bus channel from impacted devices to connected sensors to render sensor data acquisition useless.(Citation: Claroty Fuxnet 2024),T0806,relationship--6f9e3f69-ac1c-479e-ae2d-73dd1413d4dd,FALSE,,Fuxnet,https://attack.mitre.org/software/S1157,,,,,,,,,,
external remote services,Mentioned,network logs,Network Service,No,Open/Standard Technology,,General reference to remote infrastructures used during execution,[Fuxnet](https://attack.mitre.org/software/S1157) initial execution relied on accessing external remote services for victim environments.(Citation: Claroty Fuxnet 2024),T0822,relationship--66eb9d6f-498b-4a9a-94d3-fe808460bb68,FALSE,,Fuxnet,https://attack.mitre.org/software/S1157,,,,,,,,,,
Fuxnet,Described,Endpoint logs,Software/Tool,Full: Malware,Open/Standard Technology,,Known malware referenced via MITRE ATT&CK; execution of this tool is described.,[Fuxnet](https://attack.mitre.org/software/S1157) execution relied upon accessing Internet-accessible devices for initial access and deployment.(Citation: Claroty Fuxnet 2024),T0883,relationship--1b36c370-6e82-4c2f-936d-a6fe8aafc73d,FALSE,,Fuxnet,https://attack.mitre.org/software/S1157,,,,,,,,,,
